name,flux_1_100_gev,assoc_name,frac_variability,frac_variability_error,source_type
4FGL_J2202.7+4216,4.2251e-08,BL Lac,0.8699,0.1707,bll
4FGL_J1104.4+3812,3.3145e-08,Mkn 421,0.2711,0.0535,bll
4FGL_J0721.9+7120,2.2193e-08,S5 0716+71,0.3459,0.0681,bll
4FGL_J0428.6-3756,1.9405e-08,PKS 0426-380,0.5517,0.1084,bll
4FGL_J2158.8-3013,1.9094e-08,PKS 2155-304,0.2886,0.0573,bll
4FGL_J0538.8-4405,1.62e-08,PKS 0537-441,0.7533,0.1479,bll
4FGL_J1555.7+1111,1.5535e-08,PG 1553+113,0.1983,0.0408,bll
4FGL_J0222.6+4302,1.2965e-08,3C 66A,0.4705,0.0929,bll
4FGL_J0449.4-4350,1.2212e-08,PKS 0447-439,0.2937,0.0587,bll
4FGL_J0521.7+2112,1.162e-08,TXS 0518+211,0.4213,0.0838,bll
4FGL_J1427.0+2348,1.0314e-08,PKS 1424+240,0.3161,0.0632,bll
4FGL_J1653.8+3945,9.951299999999999e-09,Mkn 501,0.3107,0.062,bll
4FGL_J0238.6+1637,9.8203e-09,PKS 0235+164,0.999,0.1963,bll
4FGL_J1217.9+3007,9.26e-09,B2 1215+30,0.3523,0.0702,bll
4FGL_J2000.0+6508,9.1036e-09,1ES 1959+650,0.5152,0.1017,bll
4FGL_J0112.1+2245,8.7521e-09,S2 0109+22,0.3726,0.074,bll
4FGL_J0509.4+0542,7.8896e-09,TXS 0506+056,0.574,0.1136,bll
4FGL_J1015.0+4926,7.8605e-09,1H 1013+498,0.2477,0.0501,bll
4FGL_J1800.6+7828,7.4623e-09,S5 1803+784,0.6082,0.1196,bll
4FGL_J1517.7-2422,7.4113999999999994e-09,AP Librae,0.3897,0.0777,bll
4FGL_J2253.9+1609,6.4413e-08,3C 454.3,1.0681,0.2095,fsrq
4FGL_J1256.1-0547,4.0348e-08,3C 279,0.8877,0.1741,fsrq
4FGL_J2232.6+1143,3.6264e-08,CTA 102,1.541,0.3023,fsrq
4FGL_J1427.9-4206,3.6037999999999995e-08,PKS 1424-41,0.722,0.1417,fsrq
4FGL_J1833.6-2103,2.7839000000000002e-08,PKS 1830-211,1.3801,0.2707,fsrq
4FGL_J1512.8-0906,3.0808999999999995e-08,PKS 1510-089,0.5724,0.1124,fsrq
4FGL_J0457.0-2324,1.8961e-08,PKS 0454-234,0.4194,0.0825,fsrq
4FGL_J1504.4+1029,1.8108e-08,PKS 1502+106,0.9267,0.1819,fsrq
4FGL_J0348.5-2749,1.8637e-08,PKS 0346-27,1.4852,0.2913,fsrq
4FGL_J1159.5+2914,1.5340999999999998e-08,Ton 599,0.9893,0.1942,fsrq
4FGL_J0730.3-1141,1.0802e-08,PKS 0727-11,0.6194,0.1219,fsrq
4FGL_J0108.6+0134,1.3683000000000001e-08,4C +01.02,0.9712,0.1906,fsrq
4FGL_J0237.8+2848,1.1313e-08,4C +28.07,0.7613,0.1495,fsrq
4FGL_J1224.9+2122,1.2185e-08,4C +21.35,1.4092,0.2765,fsrq
4FGL_J2025.6-0735,8.9362e-09,PKS 2023-07,0.7204,0.1417,fsrq
4FGL_J1635.2+3808,1.0945e-08,4C +38.41,0.791,0.1553,fsrq
4FGL_J0957.6+5523,1.0088e-08,4C +55.17,0.0704,0.0169,fsrq
4FGL_J2329.3-4955,8.6583e-09,PKS 2326-502,1.3012000000000001,0.2553,fsrq
4FGL_J0210.7-5101,9.0164e-09,PKS 0208-512,1.0886,0.2136,fsrq
4FGL_J1048.4+7143,9.597499999999999e-09,S5 1044+71,1.0434,0.2048,fsrq
